"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","include","ranklabel"
65808664,"Capital One Financial","https://www.capitalone.com",97,"Consumer Credit Card and Related Services","Financials",31643.0,2714.0,50946.0,52000,6.29,6.14,True,"1-200"
28480236,"Northrop Grumman","https://www.northropgrumman.com",96,"Aerospace and Defense","Aerospace & Defense",36799.0,3189.0,49812.0,97000,7.07,7.45,False,"1-200"
38940501,"Exelon","https://www.exeloncorp.com",95,"Electric and Gas Utilities","Energy",33267.0,2376.0,41928.0,32713,6.2,6.19,True,"1-200"
91650972,"USAA","https://www.usaa.com",94,"Insurance: Property and Casualty","Financials",35618.0,4007.0,"",35076,6.78,6.9,True,"1-200"
10238564,"ConocoPhillips","https://www.conocophillips.com",93,"Mining, Crude-Oil Production","Energy",21475.0,1209.0,61446.0,9800,6.73,6.59,True,"1-200"
99007911,"Honeywell International","https://www.honeywell.com",92,"Electronics","Industrials",32637.0,4779.0,146007.0,113000,7.3,7.17,True,"1-200"
95830263,"World Fuel Services","https://www.wfscorp.com",91,"Energy","Energy",36819.0,178.9,1489.0,5500,"","",True,"1-200"
15664133,"Tech Data","https://www.techdata.com",90,"Wholesalers: Electronics and Office Equipment","Wholesalers",36768.0,368.0,"",15000,7.0,6.69,False,"1-200"
47744325,"Massachusetts Mutual Life","https://www.massmutual.com",89,"Insurance: Life and Health","Financials",37254.0,3701.0,"",9896,6.17,6.2,True,"1-200"
9513222,"Coca-Cola","https://www.coca-colacompany.com",88,"Beverages","Food, Beverages & Tobacco",33471.0,8333.0,209200.0,86200,7.13,6.94,False,"1-200"
2217069,"Publix Super Markets","https://www.publix.com",87,"Food and Drugstores","Food & Drug Stores",43421.0,3742.0,"",207000,7.38,6.53,False,"1-200"
10940099,"Progressive","https://www.progressive.com",86,"Insurance: Property and Casualty","Financials",42658.0,5705.0,56224.0,41571,6.68,6.33,True,"1-200"
84203615,"Nike","https://www.nike.com",85,"Apparel","Apparel",38254.0,2826.0,225123.0,75400,7.91,7.67,False,"1-200"
71942107,"Deere","https://www.deere.com",84,"Construction and Farm Machinery","Industrials",35540.0,2751.0,94622.0,69634,8.4,7.37,True,"1-200"
76292238,"General Dynamics","https://www.gd.com",83,"Aerospace and Defense","Aerospace & Defense",37925.0,3167.0,44203.0,102900,6.49,6.63,False,"1-200"
59705430,"Oracle","https://www.oracle.com",82,"Computer Software","Technology",39506.0,11083.0,170158.0,136000,"","",True,"1-200"
