"firmhash","firm","url","ranking","industry","sector","reputation_score","include","ranklabel"
22341419,"Sally Beauty Holdings","https://www.sallybeautyholdings.com",653,"Specialty Retailers: Other","Retailing","",True,"501-1000"
90659629,"ASGN","https://www.asgn.com",652,"Temporary Help","Business Services","",True,"501-1000"
36057207,"Carvana","https://www.carvana.com",651,"Automotive Retailing, Services","Retailing","",True,"501-1000"
25573613,"Flowserve","https://www.flowserve.com",650,"Industrial Machinery","Industrials","",True,"501-1000"
82789256,"Aaron's","https://www.aarons.com",649,"Specialty Retailers: Other","Retailing","",True,"501-1000"
51521743,"Parsons","https://www.parsons.com",648,"Aerospace & Defense","Aerospace & Defense","",False,"501-1000"
38090923,"Diamondback Energy","https://www.diamondbackenergy.com",647,"Mining, Crude-Oil Production","Energy","",True,"501-1000"
52693170,"Mercury General","https://www.mercuryinsurance.com",646,"Insurance: Property and Casualty (Stock)","","",False,"501-1000"
63895744,"Sabre","https://www.sabre.com",645,"Internet Services and Retailing","Technology","",True,"501-1000"
55820664,"Urban Outfitters","https://www.urbn.com",644,"Specialty Retailers: Apparel","Retailing","",True,"501-1000"
73707204,"CNO Financial Group","https://www.cnoinc.com",643,"Insurance: Life, Health (stock)","","",False,"501-1000"
16825745,"Dentsply Sirona","https://www.dentsplysirona.com",642,"Medical Products and Equipment","Health Care","",True,"501-1000"
25000384,"PPD","https://www.ppdi.com",641,"Health Care: Pharmacy and Other Services","Health Care","",True,"501-1000"
60339838,"Wyndham Destinations","https://www.wyndhamdestinations.com",640,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","",False,"501-1000"
24867873,"Amkor Technology","https://www.amkor.com",639,"Semiconductors and Other Electronic Components","Technology","",True,"501-1000"
311410,"Brookdale Senior Living","https://www.brookdale.com",638,"Health Care: Medical Facilities","Health Care","",True,"501-1000"
81779859,"Snap-on","https://www.snapon.com",637,"Industrial Machinery","Industrials","",True,"501-1000"
93983578,"American National Group","https://www.americannational.com",636,"Insurance: Life, Health (stock)","","",False,"501-1000"
67340539,"Landstar System","https://www.landstar.com",635,"Trucking, Truck Leasing","Transportation","",True,"501-1000"
58982749,"Old Dominion Freight Line","https://www.odfl.com",634,"Trucking, Truck Leasing","Transportation","",True,"501-1000"
81237650,"Allegheny Technologies","https://www.atimetals.com",633,"Metals","Materials","",False,"501-1000"
828830,"CUNA Mutual Group","https://www.cunamutual.com",632,"Insurance: Life, Health (stock)","","",False,"501-1000"
38494618,"Flowers Foods","https://www.flowersfoods.com",631,"Food Consumer Products","Food, Beverages & Tobacco","",False,"501-1000"
29957993,"Quad/Graphics","https://www.quad.com",630,"Publishing, Printing","Media","",True,"501-1000"
